,sen,hashes
0,-6969208543520781403,1578498320575791769 1578498320575791769
1,-9029644149292553161,6986882382209278841 6986882382209278841
2,8313580903318760764,2228200926962177415 2228200926962177415
3,1784653785552097646,5288139495340451011 5288139495340451011
4,2228200926962177415,8313580903318760764 8313580903318760764
5,1578498320575791769,-6969208543520781403 -6969208543520781403
6,5288139495340451011,1784653785552097646 1784653785552097646
7,6986882382209278841,-9029644149292553161 -9029644149292553161
8,2571836178440158459,-7033422094761465031 -7033422094761465031
9,-7033422094761465031,2571836178440158459 2571836178440158459
